"input_region","input_sector","input_num","output_region","output_sector","value","output_num","input_label","output_label"
"EU","Animal Farming",2,"EU","Re-processing.of.secondary.construction.material.into.aggregates",0.000731011821210941,37,"Animal Farming","Construction Re-processing"
"EU","Animal Farming",2,"EU","Sale,.maintenance,.repair.of.motor.vehicles,.motor.vehicles.parts,.motorcycles,.motor.cycles.parts.and.accessoiries",3.45619826242832e-05,38,"Animal Farming","Vehicle Sale, Maintenance,  Repair"
"EU","Animal Farming",2,"EU","Retail.sale.of.automotive.fuel",0.000165597499009075,39,"Animal Farming","Vehicle Fuel Sale"
"EU","Animal Farming",2,"EU","Retail.&.Wholesale.trade",0.000702645744754715,40,"Animal Farming","Retail, Wholesale Trade"
"EU","Animal Farming",2,"EU","Leisure.Services",0.00130722312903032,41,"Animal Farming","Leisure"
"EU","Animal Farming",2,"EU","Transport",0.000120863298881391,42,"Animal Farming","Transport"
"EU","Animal Farming",2,"EU","KIBS",0.000165792962620482,43,"Animal Farming","Professional Services"
"EU","Animal Farming",2,"EU","Real.estate.activities.(70)",3.20310000721447e-05,44,"Animal Farming","Real Estate"
"EU","Animal Farming",2,"EU","Renting.of.machinery.and.equipment.without.operator.and.of.personal.and.household.goods.(71)",0.000305685930112693,45,"Animal Farming","Machine, Equipment Renting"
"EU","Animal Farming",2,"EU","Research.and.development.(73)",0.000192273261757846,46,"Animal Farming","R&D"
"EU","Animal Farming",2,"EU","Public.administration.and.defence;.compulsory.social.security.(75)",0.000232016206121057,47,"Animal Farming","Public Administration, Defence"
"EU","Animal Farming",2,"EU","Education.(80)",0.000115902862492377,48,"Animal Farming","Education"
"EU","Animal Farming",2,"EU","Health.and.social.work.(85)",0.000256446497861636,49,"Animal Farming","Health, Social Work"
"EU","Animal Farming",2,"EU","Incineration.of.Waste",0.000578100816505576,50,"Animal Farming","Waste Incineration"
"EU","Animal Farming",2,"EU","Biogas.&.Composting",0.000210181635709352,51,"Animal Farming","Biogas, Composting"
"EU","Animal Farming",2,"EU","Waste.water",0.000199120807918119,52,"Animal Farming","Waste Water"
"EU","Animal Farming",2,"EU","Landfill.of.Waste",0.000124505391911318,53,"Animal Farming","Waste Landfill"
"EU","Animal Farming",2,"EU","Other.Services",0.000424612298852705,54,"Animal Farming","Other Services"
"EU","Animal Farming",2,"RoW","Agriculture",1.65403770663997e-05,1,"Animal Farming","Agriculture"
"EU","Animal Farming",2,"RoW","Animal.Farming",5.1830956731492e-05,2,"Animal Farming","Animal Farming"
"EU","Animal Farming",2,"RoW","Forestry,.logging.and.related.service.activities.(02)",4.77489561490477e-06,3,"Animal Farming","Forestry, Logging"
"EU","Animal Farming",2,"RoW","Fishing,.operating.of.fish.hatcheries.and.fish.farms;.service.activities.incidental.to.fishing.(05)",3.16899197469431e-06,4,"Animal Farming","Fishing"
"EU","Animal Farming",2,"RoW","Extraction.of.Fossil-Fuels",8.15230809764411e-06,5,"Animal Farming","Fossil-Fuel Extraction"
"EU","Animal Farming",2,"RoW","Mining.&.Quarrying.of.raw.materials",2.2102762378378e-05,6,"Animal Farming","Mining"
"EU","Animal Farming",2,"RoW","Processing.of.meat",0.000120740444725527,7,"Animal Farming","Meat"
"EU","Animal Farming",2,"RoW","Processing.of.other.food&beverage",6.92139318264264e-05,8,"Animal Farming","Other Food"
"EU","Animal Farming",2,"RoW","Manufacture.of.tobacco.products.(16)",2.01407068755325e-06,9,"Animal Farming","Tobacco"
"EU","Animal Farming",2,"RoW","Manufacture.of.textiles",5.57662559955311e-05,10,"Animal Farming","Textiles"
"EU","Animal Farming",2,"RoW","Manufacture.of.wood.and.of.products.of.wood.and.cork,.except.furniture;.manufacture.of.articles.of.straw.and.plaiting.materials.(20)",4.6700311256749e-06,11,"Animal Farming","Wood"
"EU","Animal Farming",2,"RoW","Re-processing.of.secondary.wood.material.into.new.wood.material",2.66982201655647e-05,12,"Animal Farming","Wood Re-processing"
"EU","Animal Farming",2,"RoW","Pulp",3.89549563752784e-06,13,"Animal Farming","Pulp"
"EU","Animal Farming",2,"RoW","Re-processing.of.secondary.paper.into.new.pulp",1.19920865026082e-05,14,"Animal Farming","Pulp Re-processing"
"EU","Animal Farming",2,"RoW","Paper",2.2273405225398e-06,15,"Animal Farming","Paper"
"EU","Animal Farming",2,"RoW","Processing.of.Fossil.Fuels",0.000132757249505265,16,"Animal Farming","Fossil-Fuel Processing"
"EU","Animal Farming",2,"RoW","Plastics,.basic",2.97429306046705e-06,17,"Animal Farming","Plastics"
"EU","Animal Farming",2,"RoW","Re-processing.of.secondary.plastic.into.new.plastic",1.41895134671213e-05,18,"Animal Farming","Plastics Re-processing"
"EU","Animal Farming",2,"RoW","Manufacture.of.Chemicals",0.000164733430697991,19,"Animal Farming","Chemicals"
"EU","Animal Farming",2,"RoW","Manufacture.of.rubber.and.plastic.products.(25)",7.37136586304356e-06,20,"Animal Farming","Rubber, Plastic Products"
"EU","Animal Farming",2,"RoW","Manufacture.of.glass.and.glass.products",2.35443058172694e-06,21,"Animal Farming","Glass"
"EU","Animal Farming",2,"RoW","Re-processing.of.secondary.glass.into.new.glass",5.91153559609209e-06,22,"Animal Farming","Glass Re-processing"
"EU","Animal Farming",2,"RoW","Manufacture.of.other.non-metallic.mineral.products",1.45685038636642e-06,23,"Animal Farming","Other Non-metallic Mineral Products"
"EU","Animal Farming",2,"RoW","Manufacture.of.cement,.lime.and.plaster",1.89553031191444e-06,24,"Animal Farming","Cement"
"EU","Animal Farming",2,"RoW","Re-processing.of.ash.into.clinker",5.78379120360271e-06,25,"Animal Farming","Clinker Re-processing"
"EU","Animal Farming",2,"RoW","Manufacture.of.Metals",4.41815099846577e-05,26,"Animal Farming","Metals"
"EU","Animal Farming",2,"RoW","Re-processing.of.Metals",2.49240238477382e-06,27,"Animal Farming","Metals Re-processing"
"EU","Animal Farming",2,"RoW","Manufacture.of.durable.goods",1.93350852479903e-06,28,"Animal Farming","Durable Goods"
"EU","Animal Farming",2,"RoW","Manufacture.of.furniture;.manufacturing.n.e.c..(36)",1.28198661734655e-05,29,"Animal Farming","Furniture"
"EU","Animal Farming",2,"RoW","Recycling",1.44004236760592e-05,30,"Animal Farming","Recycling"
"EU","Animal Farming",2,"RoW","Production.of.electricity.by.fossil.fuels",1.04550591244908e-06,31,"Animal Farming","Fossil-Fuel Electricity"
"EU","Animal Farming",2,"RoW","Production.of.electricity.by.renewable.energy",8.93751666266809e-06,32,"Animal Farming","Renewable Electricity"
"EU","Animal Farming",2,"RoW","Transmission.&.Distribution",5.40961364153607e-07,33,"Animal Farming","Energy Transmission, Distribution"
"EU","Animal Farming",2,"RoW","Manufacture.of.gas;.distribution.of.gaseous.fuels.through.mains",2.33413450595614e-05,34,"Animal Farming","Gas"
"EU","Animal Farming",2,"RoW","Water",7.12814530979356e-07,35,"Animal Farming","Water"
"EU","Animal Farming",2,"RoW","Construction.(45)",2.19657189024346e-06,36,"Animal Farming","Construction"
"EU","Animal Farming",2,"RoW","Re-processing.of.secondary.construction.material.into.aggregates",1.07128880703694e-06,37,"Animal Farming","Construction Re-processing"
"EU","Animal Farming",2,"RoW","Sale,.maintenance,.repair.of.motor.vehicles,.motor.vehicles.parts,.motorcycles,.motor.cycles.parts.and.accessoiries",2.27812099555654e-06,38,"Animal Farming","Vehicle Sale, Maintenance,  Repair"
"EU","Animal Farming",2,"RoW","Retail.sale.of.automotive.fuel",6.84315468574969e-06,39,"Animal Farming","Vehicle Fuel Sale"
"EU","Animal Farming",2,"RoW","Retail.&.Wholesale.trade",3.84294395887533e-06,40,"Animal Farming","Retail, Wholesale Trade"
"EU","Animal Farming",2,"RoW","Leisure.Services",2.70116941088607e-05,41,"Animal Farming","Leisure"
